[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.412Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754258740515.json (04/08/2025)
[2025-08-09T08:12:55.413Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754255140550.json (03/08/2025)
[2025-08-09T08:12:55.415Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754251540640.json (03/08/2025)
[2025-08-09T08:12:55.417Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754247940544.json (03/08/2025)
[2025-08-09T08:12:55.419Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754244340623.json (03/08/2025)
[2025-08-09T08:12:55.421Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754240740536.json (03/08/2025)
[2025-08-09T08:12:55.423Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754237140782.json (03/08/2025)
[2025-08-09T08:12:55.425Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754233540744.json (03/08/2025)
[2025-08-09T08:12:55.426Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754229940605.json (03/08/2025)
[2025-08-09T08:12:55.428Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754226340473.json (03/08/2025)
[2025-08-09T08:12:55.430Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754222740670.json (03/08/2025)
[2025-08-09T08:12:55.432Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754219140500.json (03/08/2025)
[2025-08-09T08:12:55.434Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754215541134.json (03/08/2025)
[2025-08-09T08:12:55.435Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754211940584.json (03/08/2025)
[2025-08-09T08:12:55.437Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754208340461.json (03/08/2025)
[2025-08-09T08:12:55.439Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754204740347.json (03/08/2025)
[2025-08-09T08:12:55.441Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754201140454.json (03/08/2025)
[2025-08-09T08:12:55.443Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754197540433.json (03/08/2025)
[2025-08-09T08:12:55.445Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754193940420.json (03/08/2025)
[2025-08-09T08:12:55.446Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754190340370.json (03/08/2025)
[2025-08-09T08:12:55.448Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754186741475.json (03/08/2025)
[2025-08-09T08:12:55.450Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754183141030.json (03/08/2025)
[2025-08-09T08:12:55.452Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754179541263.json (03/08/2025)
[2025-08-09T08:12:55.454Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754175941048.json (03/08/2025)
[2025-08-09T08:12:55.456Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754172340962.json (03/08/2025)
[2025-08-09T08:12:55.458Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754168740876.json (02/08/2025)
[2025-08-09T08:12:55.460Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754165140787.json (02/08/2025)
[2025-08-09T08:12:55.461Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754161540729.json (02/08/2025)
[2025-08-09T08:12:55.463Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754157940792.json (02/08/2025)
[2025-08-09T08:12:55.465Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754154341011.json (02/08/2025)
[2025-08-09T08:12:55.467Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754150740784.json (02/08/2025)
[2025-08-09T08:12:55.468Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754147141069.json (02/08/2025)
[2025-08-09T08:12:55.470Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754143540794.json (02/08/2025)
[2025-08-09T08:12:55.472Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754139940880.json (02/08/2025)
[2025-08-09T08:12:55.474Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754136340878.json (02/08/2025)
[2025-08-09T08:12:55.475Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754132741021.json (02/08/2025)
[2025-08-09T08:12:55.477Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754129140697.json (02/08/2025)
[2025-08-09T08:12:55.479Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754125540991.json (02/08/2025)
[2025-08-09T08:12:55.481Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754121940750.json (02/08/2025)
